model;split;series_id;horizon_step;ds;y_true;y_pred
nhits;val;Adenovirus;3;10/5/2025;29.200.000.762.939.400;26.473.894.119.262.600
nhits;val;Adenovirus;4;17/5/2025;27.200.000.286.102.200;26.462.509.632.110.500
nhits;val;HCOV;1;26/4/2025;2.140.000.104.904.170;2.080.721.139.907.830
nhits;val;HCOV;2;3/5/2025;1.559.999.942.779.540;19.327.914.714.813.200
nhits;val;HCOV;3;10/5/2025;13.200.000.524.520.800;17.393.336.296.081.500
nhits;val;HCOV;4;17/5/2025;1.159.999.966.621.390;16.248.068.809.509.200
nhits;val;HMPV;1;26/4/2025;7.380.000.114.440.910;74.329.657.554.626.400
nhits;val;HMPV;2;3/5/2025;7.389.999.866.485.590;71.014.838.218.688.900
nhits;val;HMPV;3;10/5/2025;6.630.000.114.440.910;6.635.506.629.943.840
nhits;val;HMPV;4;17/5/2025;6.179.999.828.338.620;6.177.555.561.065.670
nhits;val;PIV;1;26/4/2025;5.329.999.923.706.050;5.541.595.458.984.370
nhits;val;PIV;2;3/5/2025;6.349.999.904.632.560;5.978.123.664.855.950
nhits;val;PIV;3;10/5/2025;7.079.999.923.706.050;6.450.294.494.628.900
nhits;val;PIV;4;17/5/2025;7.570.000.171.661.370;6.818.689.346.313.470
nhits;val;RSV;1;26/4/2025;1.5;17.804.540.395.736.600
nhits;val;RSV;2;3/5/2025;11.200.000.047.683.700;14.991.443.157.196.000
nhits;val;RSV;3;10/5/2025;0.8600000143051147;12.059.880.495.071.400
nhits;val;RSV;4;17/5/2025;0.7599999904632568;10.325.064.659.118.600
nhits;val;RV/EV;1;26/4/2025;21.329.999.923.706.000;21.307.281.494.140.600
nhits;val;RV/EV;2;3/5/2025;21.850.000.381.469.700;2.107.306.671.142.570
nhits;val;RV/EV;3;10/5/2025;22.510.000.228.881.800;21.543.956.756.591.700
nhits;val;RV/EV;4;17/5/2025;21.950.000.762.939.400;21.642.784.118.652.300
nhits;test;Adenovirus;1;11/10/2025;2.200.000.047.683.710;23.289.506.435.394.200
nhits;test;Adenovirus;2;18/10/2025;23.299.999.237.060.500;238.108.491.897.583
nhits;test;Adenovirus;3;25/10/2025;2.509.999.990.463.250;24.546.492.099.761.900
nhits;test;Adenovirus;4;1/11/2025;26.600.000.858.306.800;2.533.050.060.272.210
nhits;test;HCOV;1;11/10/2025;0.3199999928474426;0.3247987627983093
nhits;test;HCOV;2;18/10/2025;0.30000001192092896;0.36275017261505127
nhits;test;HCOV;3;25/10/2025;0.33000001311302185;0.43723905086517334
nhits;test;HCOV;4;1/11/2025;0.4399999976158142;0.5019173622131348
nhits;test;HMPV;1;11/10/2025;0.5199999809265137;0.6839293241500854
nhits;test;HMPV;2;18/10/2025;0.6800000071525574;0.6549559831619263
nhits;test;HMPV;3;25/10/2025;0.7200000286102295;0.6195881366729736
nhits;test;HMPV;4;1/11/2025;0.7200000286102295;0.6261038780212402
nhits;test;PIV;1;11/10/2025;4.480.000.019.073.480;4.707.263.946.533.200
nhits;test;PIV;2;18/10/2025;521.999.979.019.165;48.565.874.099.731.400
nhits;test;PIV;3;25/10/2025;5.210.000.038.146.970;5.143.976.211.547.850
nhits;test;PIV;4;1/11/2025;5.179.999.828.338.620;5.383.837.699.890.130
nhits;test;RSV;1;11/10/2025;0.7200000286102295;0.7703973054885864
nhits;test;RSV;2;18/10/2025;0.8399999737739563;0.9379512071609497
nhits;test;RSV;3;25/10/2025;11.200.000.047.683.700;11.666.946.411.132.800
nhits;test;RSV;4;1/11/2025;12.599.999.904.632.500;1.425.400.733.947.750
nhits;test;RV/EV;1;11/10/2025;268.700.008.392.334;27.253.253.936.767.500
nhits;test;RV/EV;2;18/10/2025;25.440.000.534.057.600;25.655.059.814.453.100
nhits;test;RV/EV;3;25/10/2025;2.459.000.015.258.780;2.475.921.058.654.780
nhits;test;RV/EV;4;1/11/2025;24.729.999.542.236.300;23.685.352.325.439.400
